A99__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.369661	-98.084	-0.503072	16.341	1.376029	-81.791	-0.503332	14.947000000000001	1.367163	-98.4	-0.503753	17.198999999999998	1.377916	-81.54599999999999	-0.499952	15.87	1.36131	-87.252	-0.502944	17.367	1.37325	-76.049	-0.502176	16.154000000000003	1.371155	-88.358	-0.50204	16.59	1.382266	-81.53	-0.498265	15.285
1.370283	-99.17399999999999	-0.460341	16.317	1.37316	-82.02900000000001	-0.456076	14.811	1.367877	-99.86399999999999	-0.45535	17.171	1.374323	-81.411	-0.457625	15.793000000000001	1.363081	-89.473	-0.453875	17.340999999999998	1.370652	-76.613	-0.454564	16.133000000000003	1.369874	-89.223	-0.452942	16.542	1.377836	-81.07499999999999	-0.460636	15.237
1.354941	-95.69900000000001	-0.413733	16.213	1.354427	-78.531	-0.413897	14.708	1.353654	-96.72600000000001	-0.411984	17.125999999999998	1.358318	-78.212	-0.413964	15.729	1.347178	-86.397	-0.415186	17.299	1.35506	-73.345	-0.412478	16.064999999999998	1.354111	-85.77799999999999	-0.414201	16.535	1.359408	-77.193	-0.4135	15.148
1.334408	-89.874	-0.366213	16.177	1.33311	-73.583	-0.371273	14.616999999999999	1.334319	-91.276	-0.368567	17.108999999999998	1.336498	-73.083	-0.365776	15.636000000000001	1.328253	-81.593	-0.366796	17.273	1.333612	-68.278	-0.370346	16.012999999999998	1.333564	-80.379	-0.36546	16.492	1.336839	-71.896	-0.3665	15.06
1.291328	-76.81200000000001	-0.318824	16.119	1.281363	-61.697	-0.319432	14.491999999999999	1.291722	-77.923	-0.320675	17.057	1.285221	-60.581	-0.321847	15.578	1.286157	-69.19699999999999	-0.317941	17.244	1.279571	-56.013	-0.32329	15.94	1.289327	-67.731	-0.321319	16.448	1.283748	-59.327	-0.324163	15.017000000000001
1.249516	-63.50600000000001	-0.280759	16.079	1.232009	-49.293	-0.276779	14.387	1.251536	-64.773	-0.277051	17.033	1.235743	-48.127	-0.273363	15.507	1.244585	-56.43	-0.279287	17.228	1.231065	-44.176	-0.275816	15.879000000000001	1.245681	-54.951	-0.277472	16.409	1.234974	-47.506	-0.276918	14.928
1.205904	-49.999	-0.233793	15.988	1.184294	-37.751	-0.233945	14.316	1.20908	-51.239	-0.228673	16.975	1.187238	-36.519000000000005	-0.234554	15.441	1.200814	-43.287	-0.230821	17.183	1.181518	-33.050999999999995	-0.233063	15.821000000000002	1.199398	-41.821	-0.229206	16.377	1.184319	-35.893	-0.234344	14.853
1.160204	-36.823	-0.186605	15.9	1.132197	-26.78	-0.186598	14.205	1.163679	-37.653	-0.189564	16.941000000000003	1.136702	-25.415	-0.18591	15.360000000000001	1.154929	-30.367	-0.18257	17.160999999999998	1.130577	-21.945	-0.185786	15.758000000000001	1.153139	-29.63	-0.186442	16.355999999999998	1.130254	-24.629	-0.186385	14.795000000000002
1.11012	-24.004	-0.13869	15.838999999999999	1.078786	-16.591	-0.143676	14.144	1.114238	-24.362000000000002	-0.142619	16.902	1.076593	-14.157	-0.142465	15.295	1.105085	-17.873	-0.143938	17.117	1.070348	-12.136	-0.142922	15.715	1.101287	-17.529	-0.145124	16.299	1.076111	-14.841999999999999	-0.138728	14.71
1.052188	-11.732	-0.100507	15.783999999999999	1.013604	-7.621	-0.096724	14.02	1.058734	-11.857	-0.095679	16.819	1.016431	-5.093999999999999	-0.096133	15.233	1.048541	-6.189	-0.096703	17.080000000000002	1.011046	-3.571	-0.100409	15.644000000000002	1.042383	-6.301	-0.098677	16.267	1.012308	-5.63	-0.100636	14.676
0.987147	-1.4120000000000001	-0.053481	15.697	0.952531	0.23900000000000002	-0.053889	13.957	0.994765	-0.879	-0.05294	16.807	0.952295	2.091	-0.054518	15.167	0.982542	3.7390000000000003	-0.05413	17.038	0.944261	3.353	-0.053198	15.598	0.975345	2.9949999999999997	-0.052855	16.218	0.944762	1.627	-0.052956	14.597000000000001
0.908904	6.785	-0.005728	15.643	0.894148	5.417	-0.006378	13.884	0.918278	7.683	-0.010643	16.740000000000002	0.895368	6.609	-0.00813	15.082	0.90277	10.968	-0.006763	16.985	0.902499	7.318	-0.006091	15.535	0.896973	9.679	-0.007292	16.148	0.898879	5.275	-0.005442	14.55
0.848088	10.699	0.037369	15.592	0.855994	7.771	0.035833	13.794	0.841271	12.655	0.040738	16.662	0.855644	8.837	0.03802	14.999	0.845544	13.696	0.035767	16.965	0.846431	9.815000000000001	0.041301	15.462	0.85249	11.831	0.033768	16.129	0.876954	6.572	0.037211	14.488
0.809945	12.251	0.084174	15.478	0.831801	8.934	0.0825	13.631	0.806129	13.712	0.083052	16.611	0.829899	9.865	0.079273	14.935	0.821674	14.093	0.082238	16.864	0.821908	10.576	0.079101	15.435	0.824565	12.644	0.079765	16.069	0.83986	8.558	0.084801	14.418999999999999
0.77787	13.180000000000001	0.128744	15.432	0.791019	10.72	0.130536	13.465	0.778642	14.247	0.126099	16.549999999999997	0.787722	11.534	0.130006	14.824	0.780913	15.123	0.129731	16.792	0.787154	12.077	0.125514	15.315999999999999	0.78551	13.706	0.134873	15.970000000000002	0.796456	10.392	0.128266	14.342
0.741358	14.112	0.176461	15.258000000000001	0.746109	12.173	0.173753	13.338	0.737579	15.223	0.174344	16.432	0.744534	12.78	0.169284	14.725	0.736261	15.810999999999998	0.173579	16.685	0.74327	13.231	0.173253	15.232000000000001	0.736483	14.719	0.17459	15.916	0.7453	12.082	0.171898	14.252
0.693069	15.254	0.216749	15.256	0.69483	13.563	0.216816	13.197000000000001	0.689338	15.945	0.218183	16.346	0.696554	13.802999999999999	0.222899	14.508000000000001	0.688717	16.271	0.217852	16.592	0.692618	14.085	0.22042	15.08	0.689537	15.23	0.219176	15.837	0.696035	13.14	0.219913	14.119
0.645432	15.706999999999999	0.263345	15.019	0.643441	14.127	0.262714	12.886	0.641666	16.29	0.266043	16.177	0.644786	14.446	0.262608	14.406	0.639064	16.564	0.265751	16.433	0.642443	14.629	0.264005	14.963000000000001	0.641401	15.572000000000001	0.263113	15.715	0.64618	13.793	0.262704	14.004000000000001
0.591861	16.031	0.310897	14.841	0.592396	14.293999999999999	0.309368	12.622	0.594768	16.355999999999998	0.309509	16.062	0.595867	14.615	0.310272	14.155	0.591837	16.652	0.309219	16.285	0.592752	14.897	0.30693	14.788	0.591731	15.720999999999998	0.312021	15.545	0.592284	14.137	0.309543	13.838
0.546146	15.880999999999998	0.350667	14.789	0.542217	14.19	0.351494	12.414	0.543159	16.381	0.352208	15.858	0.544709	14.642000000000001	0.353975	13.969000000000001	0.543791	16.692999999999998	0.352202	16.074	0.549242	14.860999999999999	0.353306	14.532	0.548546	15.708	0.351299	15.414000000000001	0.547732	14.045	0.351784	13.662
0.496291	15.772000000000002	0.400237	14.362	0.495628	14.017	0.396566	12.031	0.502719	16.2	0.397918	15.57	0.500979	14.491999999999999	0.400431	13.608	0.499415	16.665	0.398547	15.775999999999998	0.50191	14.923	0.399282	14.222	0.500918	15.692999999999998	0.398424	15.110999999999999	0.498971	14.01	0.3976	13.366
0.455256	15.598	0.441903	14.227	0.454623	13.858	0.44012	11.653	0.455031	16.181	0.439042	15.325	0.4572	14.43	0.438807	13.419	0.455664	16.654	0.444017	15.42	0.453678	14.947999999999999	0.44026	13.932	0.453162	15.698	0.441772	14.831999999999999	0.454846	13.938	0.442446	13.044
0.406196	15.571	0.48507	13.821	0.409403	13.798	0.483811	11.254999999999999	0.410697	16.150000000000002	0.484983	14.859	0.406189	14.423	0.484512	12.893999999999998	0.410297	16.634	0.483231	15.064	0.409305	14.988	0.482924	13.495	0.41542	15.678	0.484607	14.459	0.410596	13.904	0.482058	12.721
0.365485	15.514999999999999	0.527775	13.358	0.364136	13.778	0.530259	10.692	0.361132	16.179	0.527467	14.461	0.360158	14.446	0.525928	12.52	0.360069	16.69	0.528585	14.463000000000001	0.364603	14.985999999999999	0.528223	12.92	0.36006	15.716000000000001	0.526416	14.022	0.360719	13.924000000000001	0.527702	12.168
0.320109	15.514	0.569949	12.908	0.319154	13.769	0.572828	10.219000000000001	0.320487	16.152	0.57116	13.822	0.319004	14.441	0.569472	11.921	0.319446	16.657999999999998	0.570133	13.941	0.320129	15.048	0.569454	12.404	0.319044	15.713000000000001	0.570448	13.401	0.320865	13.899	0.573003	11.549
0.270635	15.566	0.616473	12.021	0.274035	13.762	0.614403	9.686	0.270911	16.160999999999998	0.614513	13.158	0.273281	14.458	0.615413	11.154	0.274368	16.664	0.61683	13.039	0.270605	15.091000000000001	0.61602	11.546000000000001	0.273654	15.725	0.613748	12.721	0.271394	13.951	0.613966	10.954
0.229805	15.491	0.660114	11.325999999999999	0.229522	13.782	0.661332	8.767999999999999	0.230802	16.176	0.656257	12.382000000000001	0.227722	14.486	0.657161	10.466	0.228966	16.663	0.656462	12.386	0.231123	15.116	0.659041	10.831999999999999	0.227808	15.729	0.659399	11.838	0.232086	13.953	0.660093	10.072
0.184904	15.526	0.702339	10.414	0.185128	13.833	0.705578	8.002	0.186205	16.192	0.700465	11.318999999999999	0.187119	14.525	0.701987	9.544	0.184112	16.695999999999998	0.700851	11.301	0.186835	15.161000000000001	0.70361	9.866	0.182563	15.753	0.70115	10.953	0.183407	13.994	0.70634	9.117999999999999
0.135409	15.553	0.745926	9.283	0.135434	13.846	0.748718	7.164000000000001	0.137041	16.247999999999998	0.747225	10.02	0.136657	14.600999999999999	0.747441	8.485	0.1387	16.725	0.747464	9.996	0.138005	15.193999999999999	0.745258	8.908	0.137285	15.781	0.744405	9.857	0.139307	14.028	0.744985	8.377
0.095273	15.506	0.788971	8.108	0.095469	13.876	0.794091	6.082	0.092583	16.261000000000003	0.789964	8.788	0.093948	14.626999999999999	0.791815	7.354	0.090748	16.745	0.787463	8.931	0.095423	15.228	0.789381	7.7749999999999995	0.091535	15.786999999999999	0.789544	8.534999999999998	0.095272	14.099	0.791477	7.09
