B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.355417	-82.892	-0.493162	22.144000000000002	1.370863	-79.893	-0.505934	21.707	1.348492	-70.809	-0.512898	31.024	1.366832	-71.61	-0.499014	20.429	1.365495	-92.519	-0.503261	17.242	1.365368	-74.71	-0.502721	15.986	1.361844	-91.186	-0.483737	21.762	1.504248	-174.163	-0.502298	29.811
1.357438	-85.41600000000001	-0.466735	21.554	1.372016	-82.115	-0.461357	21.123	1.351493	-74.245	-0.473569	29.58	1.367453	-73.026	-0.466084	19.674	1.36526	-94.075	-0.462974	17.01	1.365208	-76.19099999999999	-0.45338	15.948	1.36327	-93.373	-0.458397	21.498	1.53287	-162.509	-0.46939	29.1
1.342216	-83.15400000000001	-0.411363	21.258	1.358054	-78.193	-0.420747	20.535	1.335987	-72.477	-0.435378	28.045	1.347833	-70.081	-0.417253	19.387	1.349059	-90.999	-0.411326	16.8	1.348904	-73.45	-0.41439	15.907999999999998	1.348604	-90.67699999999999	-0.421152	21.042	1.531095	-151.79899999999998	-0.429448	27.830000000000002
1.323189	-79.068	-0.371357	20.888	1.308915	-68.00200000000001	-0.376102	19.874	1.3204	-68.535	-0.38672	26.572	1.325059	-65.56099999999999	-0.372922	19.107	1.328468	-86.003	-0.369644	16.604	1.32708	-68.93	-0.365208	15.866000000000001	1.328402	-85.747	-0.37101	20.452	1.449991	-127.58500000000001	-0.386535	26.406
1.278699	-66.956	-0.331022	20.336	1.262327	-57.269	-0.330531	19.216	1.271191	-57.319	-0.338008	25.062	1.273315	-53.943	-0.327841	18.564	1.285783	-73.946	-0.323078	16.415	1.277621	-57.302	-0.321119	15.831000000000001	1.285259	-73.017	-0.328296	20.027	1.393602	-107.266	-0.33951	24.922
1.23643	-54.798	-0.281349	20.095	1.2163	-46.477	-0.283453	18.700000000000003	1.227097	-46.073	-0.291027	23.758000000000003	1.225037	-42.771	-0.280683	18.155	1.244121	-61.573	-0.275795	16.237000000000002	1.228525	-45.342	-0.276607	15.807000000000002	1.243522	-60.3	-0.286071	19.571	1.314641	-88.075	-0.293726	23.499
1.193212	-42.485	-0.237125	19.490000000000002	1.151909	-37.191	-0.237303	18.113	1.174613	-35.196	-0.247696	22.554000000000002	1.173263	-31.557000000000002	-0.238098	17.79	1.200241	-48.696999999999996	-0.233073	16.099	1.18033	-34.114	-0.227712	15.757	1.200755	-47.429	-0.235103	19.083	1.246361	-72.1	-0.254717	21.881999999999998
1.146484	-29.866	-0.195643	19.011	0.995862	-36.869	-0.187976	17.779	1.127947	-24.519	-0.1995	21.334	1.124088	-21.188	-0.196511	17.287	1.155508	-36.216	-0.190739	15.951	1.130879	-23.394000000000002	-0.188164	15.748999999999999	1.155833	-34.756	-0.192896	18.623	1.174492	-57.306999999999995	-0.202981	20.517
1.098681	-18.294999999999998	-0.148474	18.609	1.034963	-37.105	-0.146975	17.565	1.074019	-14.728	-0.154518	20.272	1.068069	-11.284	-0.143745	16.965999999999998	1.106891	-23.986	-0.140621	15.803	1.077761	-13.093	-0.139439	15.713000000000001	1.106103	-22.041	-0.150588	18.200999999999997	1.048923	-49.309	-0.154167	19.261
1.043995	-7.128	-0.100093	18.233	1.005312	-36.526	-0.098148	17.304	0.777449	-23.337	-0.108903	19.268	1.010418	-2.7	-0.099318	16.701	1.050457	-11.857	-0.100711	15.655	1.020689	-3.9810000000000003	-0.096185	15.693999999999999	1.052109	-10.378	-0.099059	17.648	0.995109	-46.309999999999995	-0.108278	18.172
