B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0
1.31702	-48.963	-0.501813	20.902	1.323648	-44.637	-0.500022	20.603	1.325836	-50.446999999999996	-0.500251	22.068	1.320519	-45.159	-0.500209	21.006	1.311242	-50.134	-0.502785	23.226	1.328616	-45.714	-0.499872	21.505	1.312887	-49.281	-0.5022	21.543	1.350984	-50.194	-0.504582	20.816000000000003
1.315549	-49.097	-0.457116	20.750999999999998	1.322465	-44.720000000000006	-0.462013	20.427	1.324029	-50.562999999999995	-0.460363	21.884	1.319421	-45.223	-0.459656	20.820999999999998	1.310133	-50.208999999999996	-0.457147	23.042	1.327516	-45.778	-0.457932	21.295	1.311623	-49.393	-0.462424	21.369	1.343716	-50.753	-0.45664	20.555
1.312704	-48.925000000000004	-0.415351	20.580000000000002	1.316999	-43.98	-0.415332	20.2	1.319803	-50.173	-0.414534	21.649	1.315531	-44.771	-0.414622	20.607	1.309058	-50.284	-0.416087	22.852999999999998	1.321119	-44.803000000000004	-0.416273	21.149	1.310372	-49.463	-0.412728	21.107999999999997	1.337455	-48.536	-0.409235	20.348000000000003
1.299479	-46.531000000000006	-0.368232	20.452	1.301436	-41.244	-0.36585	20.008000000000003	1.303595	-47.268	-0.368038	21.436	1.300781	-42.117000000000004	-0.367792	20.464	1.297138	-47.866	-0.368768	22.696	1.305152	-41.95	-0.370073	20.973	1.296658	-46.731	-0.371026	20.943	1.315496	-44.801	-0.370801	20.204
1.277832	-42.168	-0.321346	20.317	1.2786	-37.008	-0.320096	19.876	1.280427	-42.666999999999994	-0.320926	21.258	1.278425	-37.935	-0.325117	20.328	1.278312	-43.753	-0.321697	22.544	1.281505	-37.497	-0.322989	20.836000000000002	1.277007	-42.535000000000004	-0.324543	20.764000000000003	1.286009	-39.362	-0.321768	20.075
1.224068	-30.771	-0.278523	20.19	1.224399	-26.678	-0.27456	19.773	1.226255	-31.35	-0.278011	21.125999999999998	1.222149	-26.977	-0.278022	20.199	1.227252	-32.193	-0.279505	22.433999999999997	1.222795	-26.333	-0.275993	20.722	1.226074	-31.319	-0.277492	20.632	1.225219	-28.058	-0.272867	19.95
1.173194	-20.34	-0.235763	20.108	1.166266	-16.115000000000002	-0.229257	19.651	1.172775	-20.512	-0.235356	21.007	1.165109	-16.474	-0.230633	20.081000000000003	1.176051	-21.051000000000002	-0.232234	22.288	1.165083	-15.997000000000002	-0.233644	20.604999999999997	1.173898	-20.326	-0.230732	20.492	1.170568	-18.027	-0.233497	19.864
1.116645	-9.947	-0.184167	19.937	1.103342	-5.9319999999999995	-0.184335	19.524	1.117355	-10.370000000000001	-0.188359	20.848	1.109244	-7.223	-0.18827	19.976	1.122266	-10.425	-0.185498	22.134	1.108031	-6.769	-0.18744	20.451	1.11832	-9.844999999999999	-0.188156	20.372999999999998	1.108493	-8.354000000000001	-0.185245	19.720000000000002
1.056344	-0.808	-0.141342	19.804	1.04861	1.323	-0.139031	19.383000000000003	1.056961	-1.142	-0.140418	20.702	1.04931	1.092	-0.141615	19.817999999999998	1.06582	-0.94	-0.14328	22.0	1.045831	1.623	-0.145371	20.317	1.061216	-0.878	-0.141192	20.212	1.04849	0.176	-0.145263	19.607
0.992293	6.2700000000000005	-0.10012	19.674	0.99288	6.998	-0.097143	19.266	0.993075	6.117	-0.099405	20.539	0.985985	7.659	-0.099298	19.66	1.003651	6.991	-0.101425	21.831	0.987285	7.592	-0.098406	20.126	0.997762	6.49	-0.100092	20.074	0.988622	6.2090000000000005	-0.101371	19.445
