B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0
1.391681	-55.858	-0.502154	20.34	1.393383	-51.872	-0.497462	20.853	1.389442	-63.102000000000004	-0.499548	23.464	1.39443	-53.451	-0.503231	22.216	1.387187	-61.162	-0.500464	23.575	1.392534	-51.3	-0.503491	21.331	1.391162	-55.516999999999996	-0.504793	19.828	1.395829	-43.961	-0.501511	19.787
1.382724	-54.326	-0.453834	20.282999999999998	1.3824	-50.12	-0.459715	20.812	1.382161	-61.830000000000005	-0.456526	23.408	1.382367	-51.387	-0.456174	22.182	1.380799	-60.237	-0.458219	23.523	1.381017	-49.542	-0.456944	21.262	1.383199	-54.217	-0.457291	19.803	1.382311	-41.977000000000004	-0.459705	19.752
1.362614	-50.387	-0.415152	20.229	1.360402	-46.119	-0.411895	20.758	1.364675	-58.024	-0.413618	23.349999999999998	1.362288	-47.690999999999995	-0.413712	22.123	1.362109	-56.408	-0.411386	23.436	1.359869	-45.905	-0.408943	21.213	1.362997	-50.234	-0.409792	19.746	1.359439	-38.454	-0.41227	19.715
1.310633	-39.625	-0.367125	20.157999999999998	1.303625	-35.471000000000004	-0.368855	20.712	1.340585	-52.568	-0.366031	23.279999999999998	1.334111	-42.374	-0.371262	22.087	1.338213	-51.24	-0.368317	23.393	1.332108	-40.902	-0.369966	21.158	1.309421	-39.187	-0.366651	19.704	1.32922	-33.785000000000004	-0.363338	19.678
1.25673	-28.675	-0.319572	20.117	1.252539	-26.035	-0.320723	20.656000000000002	1.286104	-39.904	-0.322435	23.253	1.273117	-30.771	-0.319836	22.015	1.282973	-38.819	-0.319873	23.327	1.269832	-29.496000000000002	-0.320734	21.114	1.25809	-28.863	-0.323751	19.66	1.263174	-23.507	-0.323732	19.639
1.205857	-18.807000000000002	-0.277113	20.064	1.199172	-16.634	-0.277335	20.611	1.234654	-28.302	-0.273304	23.184	1.215923	-20.299999999999997	-0.277092	21.965	1.230705	-27.366999999999997	-0.281164	23.262999999999998	1.213001	-19.432000000000002	-0.272328	21.052	1.207623	-19.177	-0.276127	19.614	1.19824	-13.866	-0.274504	19.602
1.154951	-9.684999999999999	-0.234955	20.01	1.146847	-8.047	-0.229219	20.558	1.18144	-16.945	-0.234693	23.129	1.156945	-10.214	-0.234776	21.922	1.178133	-16.441000000000003	-0.22809	23.184	1.155204	-9.817	-0.233262	20.997	1.153983	-9.637	-0.233547	19.566	1.137951	-5.526	-0.230028	19.54
1.100338	-1.048	-0.188265	19.932	1.091183	0.102	-0.190677	20.525000000000002	1.125016	-6.046	-0.18573	23.057000000000002	1.101425	-1.649	-0.187817	21.843	1.121909	-5.774	-0.184664	23.111	1.100032	-1.56	-0.184172	20.929	1.099921	-1.21	-0.186234	19.491999999999997	1.083532	1.193	-0.18572	19.498
1.041173	6.532	-0.141086	19.869	1.03683	6.687	-0.138394	20.424999999999997	1.065727	3.643	-0.142251	22.993	1.044299	5.857	-0.140788	21.78	1.065672	3.3019999999999996	-0.145943	23.041	1.039954	6.0280000000000005	-0.145097	20.845	1.039817	6.321000000000001	-0.143477	19.463	1.038316	5.989000000000001	-0.141803	19.433
0.986073	11.520000000000001	-0.098606	19.813000000000002	0.990039	11.102	-0.095763	20.36	1.000004	11.662	-0.094123	22.929000000000002	0.989344	11.455	-0.098905	21.692	1.00306	11.117	-0.093583	22.921	0.992427	10.716	-0.09672	20.773	0.98652	11.134	-0.095577	19.378	0.991235	10.089	-0.0967	19.415000000000003
