B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0
1.381647	-62.71300000000001	-0.503195	20.208000000000002	1.321258	-43.663000000000004	-0.500532	19.301	1.312343	-47.586999999999996	-0.498902	20.971	1.364012	-46.621	-0.502674	20.485	1.307341	-49.93	-0.503536	23.376	1.375808	-56.914	-0.482236	75.876	0.616712	-102.666	-0.586569	75.709
1.376255	-62.411	-0.459085	19.921000000000003	1.319197	-43.83	-0.458803	19.11	1.310868	-47.684999999999995	-0.462142	20.750999999999998	1.358472	-46.67	-0.463645	20.18	1.306172	-50.031	-0.458493	23.022000000000002	1.372792	-57.123	-0.476618	74.501	0.604052	-103.62100000000001	-0.630447	70.191
1.357416	-59.071	-0.414756	19.648	1.314878	-43.41	-0.412033	18.883	1.309476	-47.805	-0.413081	20.441999999999997	1.337698	-44.547000000000004	-0.415564	19.827	1.304871	-50.119	-0.414245	22.696	1.348826	-54.152	-0.456952	70.975	0.601803	-103.782	-0.615114	62.54
1.332061	-53.981	-0.369506	19.424	1.29896	-40.954	-0.371265	18.731	1.29677	-45.493	-0.372324	20.229	1.310474	-41.07	-0.369933	19.579	1.294284	-48.044999999999995	-0.369683	22.422	1.318696	-50.493	-0.426195	66.797	0.596583	-104.176	-0.45651	48.059999999999995
1.277643	-42.257000000000005	-0.323077	19.241999999999997	1.275137	-36.839999999999996	-0.325008	18.576	1.276742	-41.518	-0.321214	20.046000000000003	1.280295	-36.765	-0.32351	19.334	1.275709	-44.06	-0.328735	22.237	1.287672	-45.425	-0.349772	56.765	0.594606	-104.34100000000001	-0.340058	39.222
1.225191	-31.017	-0.281301	19.081999999999997	1.217353	-26.093999999999998	-0.278425	18.455	1.223759	-30.406	-0.279401	19.921000000000003	1.2139	-26.612000000000002	-0.276967	19.131	1.226213	-32.940999999999995	-0.27841	22.046	1.218349	-34.478	-0.284535	48.374	0.593242	-104.458	-0.274771	34.65
1.171949	-20.288	-0.234318	18.966	1.160164	-16.168	-0.23201	18.324	1.1703	-19.692999999999998	-0.232472	19.79	1.152	-17.242	-0.235256	18.936	1.174504	-21.807	-0.232306	21.874000000000002	1.153081	-25.134	-0.229939	41.6	0.590905	-104.625	-0.231977	31.727999999999998
1.115877	-10.241	-0.187374	18.806	1.101542	-7.562	-0.185604	18.2	1.116236	-9.897	-0.190699	19.671999999999997	1.092861	-9.088000000000001	-0.188878	18.726	1.123234	-11.839	-0.190821	21.746000000000002	1.094701	-16.692	-0.187751	36.308	0.589389	-104.767	-0.208823	30.209
1.055893	-1.39	-0.140532	18.643	1.040979	0.046	-0.144065	18.072000000000003	1.05606	-0.865	-0.139278	19.501	1.035612	-2.334	-0.142977	18.481	1.065516	-2.281	-0.139915	21.538	1.027597	-9.700000000000001	-0.140571	30.445	0.595774	-104.26299999999999	-0.172954	27.887999999999998
0.991241	5.64	-0.098822	18.509	0.989133	4.944999999999999	-0.101617	17.918	0.990941	6.356	-0.102609	19.383999999999997	0.992641	1.818	-0.096628	18.233	0.999404	5.6610000000000005	-0.102495	21.38	0.997473	-6.5360000000000005	-0.093626	24.982	0.586967	-104.941	-0.131234	25.245
0.942278	9.292	-0.05347	18.311	0.94461	8.125	-0.050302	17.66	0.941785	10.029	-0.052267	19.172	0.944577	5.549	-0.056701	17.999000000000002	0.942191	10.9	-0.052088	21.105999999999998	0.973079	-4.742999999999999	-0.050659	20.029	0.587819	-104.86800000000001	-0.086761	22.481
0.922841	10.396	-0.009861	18.103	0.922499	9.360999999999999	-0.008091	17.479000000000003	0.92214	11.115	-0.011254	18.987000000000002	0.922758	6.838	-0.00917	17.654	0.899332	13.43	-0.006328	20.863	0.931169	-2.8489999999999998	-0.006432	14.972	0.588056	-104.849	-0.043197	19.794
0.883723	12.252	0.033495	17.858999999999998	0.886665	10.978	0.038332	17.201	0.883034	12.945	0.038375	18.718	0.886115	8.812000000000001	0.034391	17.307	0.87553	14.461	0.034434	20.589	0.884493	-1.295	0.039935	9.653	0.578803	-105.55000000000001	0.002772	16.907999999999998
0.836505	13.873	0.076317	17.578	0.837642	12.723999999999998	0.079711	16.937	0.83615	14.548	0.078502	18.471999999999998	0.842436	10.667	0.077395	16.929	0.83737	15.889000000000001	0.079025	20.247	0.8246	-0.63	0.083801	4.603000000000001	0.578161	-105.616	0.048188	14.017999999999999
0.785148	15.124	0.12262	17.212000000000003	0.787326	13.953	0.128752	16.503	0.787538	15.710999999999999	0.127119	18.064	0.791239	12.271	0.123271	16.407999999999998	0.788216	17.179	0.12775	19.793000000000003	0.766907	-0.517	0.131992	-1.006	0.57779	-105.63	0.083485	10.349
0.738238	15.941	0.168284	16.775000000000002	0.740291	14.775	0.169182	16.17	0.736276	16.612	0.171091	17.692	0.739391	13.446	0.164797	15.911999999999999	0.738215	18.064	0.167184	19.419999999999998	0.700888	-2.539	0.177942	-5.930000000000001	0.575587	-105.78999999999999	0.113966	5.909
