Device	Pixel	Sweep Direction	Scan number	Variable	Pin[mW/cm2]	Voc[V]	Jsc[mA/cm2]	FF[%]	PCE[%]	Sweep Speed	Measurement Start Date
B7	p1	Rv	0	NOcTiO2_spiro	100.00	1.06	19.21	58.32	11.87	50.0	2020-07-18 08:00:00
B7	p1	Fw	0	NOcTiO2_spiro	100.00	0.78	18.1	38.41	5.42	50.0	2020-07-18 08:00:00
B7	p2	Rv	0	NOcTiO2_spiro	100.00	1.04	18.51	57.07	10.99	50.0	2020-07-18 08:00:00
B7	p2	Fw	0	NOcTiO2_spiro	100.00	0.78	17.48	37.62	5.13	50.0	2020-07-18 08:00:00
B7	p3	Rv	0	NOcTiO2_spiro	100.00	1.06	19.99	58.39	12.37	50.0	2020-07-18 08:00:00
B7	p3	Fw	0	NOcTiO2_spiro	100.00	0.78	18.99	40.07	5.93	50.0	2020-07-18 08:00:00
B7	p4	Rv	0	NOcTiO2_spiro	100.00	0.99	18.74	53.59	9.94	50.0	2020-07-18 08:00:00
B7	p4	Fw	0	NOcTiO2_spiro	100.00	0.69	17.65	36.48	4.44	50.0	2020-07-18 08:00:00
B7	p5	Rv	0	NOcTiO2_spiro	100.00	1.07	22.15	57.13	13.54	50.0	2020-07-18 08:00:00
B7	p5	Fw	0	NOcTiO2_spiro	100.00	0.78	20.86	39.16	6.37	50.0	2020-07-18 08:00:00
B7	p6	Rv	0	NOcTiO2_spiro	100.00	0.77	18.09	21.0	2.93	50.0	2020-07-18 08:00:00
B7	p6	Fw	0	NOcTiO2_spiro	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B7	p7	Rv	0	NOcTiO2_spiro	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B7	p7	Fw	0	NOcTiO2_spiro	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B2	p1	Rv	0	NOcTiO2_ptaa	100.00	0.98	15.17	70.0	10.41	50.0	2020-07-18 08:00:00
B2	p1	Fw	0	NOcTiO2_ptaa	100.00	0.91	15.1	49.38	6.78	50.0	2020-07-18 08:00:00
B2	p2	Rv	0	NOcTiO2_ptaa	100.00	0.96	14.78	70.46	10.0	50.0	2020-07-18 08:00:00
B2	p2	Fw	0	NOcTiO2_ptaa	100.00	0.91	14.82	48.44	6.53	50.0	2020-07-18 08:00:00
B2	p3	Rv	0	NOcTiO2_ptaa	100.00	0.99	15.37	67.6	10.29	50.0	2020-07-18 08:00:00
B2	p3	Fw	0	NOcTiO2_ptaa	100.00	0.91	15.48	48.39	6.82	50.0	2020-07-18 08:00:00
B2	p4	Rv	0	NOcTiO2_ptaa	100.00	0.95	15.21	70.09	10.13	50.0	2020-07-18 08:00:00
B2	p4	Fw	0	NOcTiO2_ptaa	100.00	0.91	15.28	47.67	6.63	50.0	2020-07-18 08:00:00
B2	p5	Rv	0	NOcTiO2_ptaa	100.00	0.99	17.37	68.0	11.69	50.0	2020-07-18 08:00:00
B2	p5	Fw	0	NOcTiO2_ptaa	100.00	0.91	17.39	47.07	7.45	50.0	2020-07-18 08:00:00
B2	p6	Rv	0	NOcTiO2_ptaa	100.00	1.01	16.11	65.19	10.61	50.0	2020-07-18 08:00:00
B2	p6	Fw	0	NOcTiO2_ptaa	100.00	0.91	16.12	47.18	6.92	50.0	2020-07-18 08:00:00
B2	p7	Rv	0	NOcTiO2_ptaa	100.00	0.98	16.27	68.8	10.97	50.0	2020-07-18 08:00:00
B2	p7	Fw	0	NOcTiO2_ptaa	100.00	0.91	16.3	47.93	7.11	50.0	2020-07-18 08:00:00
B2	p8	Rv	0	NOcTiO2_ptaa	100.00	0.95	15.0	69.54	9.91	50.0	2020-07-18 08:00:00
B2	p8	Fw	0	NOcTiO2_ptaa	100.00	0.91	15.05	47.3	6.48	50.0	2020-07-18 08:00:00
B3	p1	Rv	0	NOcTiO2_spiro	100.00	1.06	20.27	57.18	12.29	50.0	2020-07-18 08:00:00
B3	p1	Fw	0	NOcTiO2_spiro	100.00	0.73	19.25	39.9	5.61	50.0	2020-07-18 08:00:00
B3	p2	Rv	0	NOcTiO2_spiro	100.00	1.05	19.83	60.17	12.53	50.0	2020-07-18 08:00:00
B3	p2	Fw	0	NOcTiO2_spiro	100.00	0.78	18.86	39.97	5.88	50.0	2020-07-18 08:00:00
B3	p3	Rv	0	NOcTiO2_spiro	100.00	1.06	21.17	55.96	12.56	50.0	2020-07-18 08:00:00
