#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.030001,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.369165,-0.095649
1.368887,-0.096820
1.353991,-0.093355
1.334572,-0.087902
1.292152,-0.074803
1.252118,-0.062072
1.207461,-0.048287
1.162375,-0.035217
1.112110,-0.022176
1.053774,-0.009608
0.989704,0.000673
0.911262,0.008704
0.840931,0.012662
0.808183,0.013537
0.776435,0.014116
0.736709,0.014808
0.686997,0.015443
0.642590,0.015657
0.592721,0.015876
0.550229,0.015863
0.498523,0.015918
0.455525,0.015892
0.411523,0.015895
0.366906,0.015918
0.317219,0.015928
0.272069,0.015964
0.227276,0.015974
0.186980,0.016002
0.137335,0.016049
0.093015,0.016080
0.050089,0.016128
0.007162,0.016176
-0.040191,0.016228
-0.082803,0.016285
-0.130042,0.016353
-0.176896,0.016439
-0.220188,0.016521
-0.263475,0.016591
-0.311363,0.016706
-0.359259,0.016804
-0.397611,0.016896
-0.445180,0.017011
-0.493079,0.017115
-0.535065,0.017221
NaN,NaN
-0.501427,0.017235
-0.452469,0.017221
-0.413444,0.017212
-0.364013,0.017163
-0.325214,0.017150
-0.276570,0.017091
-0.228211,0.017057
-0.188516,0.017027
-0.141064,0.016974
-0.093699,0.016921
-0.055600,0.016888
-0.008250,0.016851
0.039385,0.016776
0.081791,0.016732
0.130178,0.016653
0.174290,0.016584
0.218402,0.016480
0.266945,0.016324
0.310257,0.016204
0.352983,0.015999
0.395204,0.015782
0.440189,0.015441
0.486412,0.015003
0.524346,0.014665
0.571855,0.013943
0.615017,0.013236
0.656667,0.012438
0.700712,0.011364
0.744073,0.010196
0.788917,0.008731
0.832207,0.007183
0.873366,0.005467
0.912453,0.003610
0.955317,0.000998
0.992636,-0.001652
1.030793,-0.004999
1.067803,-0.008884
1.107488,-0.013819
1.182173,-0.023924
1.234771,-0.032942
1.275981,-0.042292
1.311906,-0.052644
1.343832,-0.064051
1.372666,-0.076155
NaN,NaN
