#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.450001,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.320519,-0.045159
1.319421,-0.045223
1.315531,-0.044771
1.300781,-0.042117
1.278425,-0.037935
1.222149,-0.026977
1.165109,-0.016474
1.109244,-0.007223
1.049310,0.001092
0.985985,0.007659
0.942996,0.010706
0.922543,0.011735
0.883181,0.013572
0.835175,0.015171
0.786306,0.016308
0.735146,0.017146
0.689534,0.017699
0.642683,0.018130
0.595136,0.018513
0.550507,0.018795
0.500413,0.019087
0.457037,0.019274
0.408747,0.019490
0.364793,0.019635
0.320401,0.019763
0.271333,0.019915
0.226530,0.020001
0.182713,0.020069
0.144518,0.020128
0.092052,0.020198
0.048865,0.020249
0.005904,0.020292
-0.042039,0.020349
-0.084952,0.020389
-0.128678,0.020412
-0.176992,0.020456
-0.220389,0.020483
-0.269146,0.020515
-0.312719,0.020530
-0.356161,0.020587
-0.399999,0.020589
-0.447590,0.020642
-0.488958,0.020783
-0.533196,0.021045
NaN,NaN
-0.500209,0.021006
-0.459656,0.020821
-0.414622,0.020607
-0.367792,0.020464
-0.325117,0.020328
-0.278022,0.020199
-0.230633,0.020081
-0.188270,0.019976
-0.141615,0.019818
-0.099298,0.019660
-0.053652,0.019458
-0.008320,0.019226
0.032545,0.019011
0.081412,0.018637
0.125205,0.018301
0.168781,0.017897
0.216553,0.017302
0.260665,0.016757
0.303109,0.016122
0.344997,0.015403
0.391944,0.014314
0.434877,0.013331
0.475273,0.012307
0.519093,0.010936
0.559728,0.009642
0.604080,0.007951
0.647947,0.006156
0.691769,0.004286
0.735151,0.002354
0.779977,0.000185
0.822265,-0.001802
0.867373,-0.004282
0.909467,-0.006559
0.952156,-0.009206
0.993693,-0.011919
1.036671,-0.014965
1.081955,-0.018255
1.125969,-0.021331
1.173283,-0.024441
1.217578,-0.027317
1.260998,-0.030524
1.297904,-0.034238
1.329425,-0.038810
1.346545,-0.043141
NaN,NaN
