#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.770000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.389442,-0.063102
1.382161,-0.061830
1.364675,-0.058024
1.340585,-0.052568
1.286104,-0.039904
1.234654,-0.028302
1.181440,-0.016945
1.125016,-0.006046
1.065727,0.003643
1.000004,0.011662
0.937412,0.016470
0.898988,0.018345
0.872680,0.019315
0.830006,0.020482
0.783381,0.021311
0.733682,0.021905
0.686402,0.022302
0.641558,0.022556
0.590809,0.022799
0.547380,0.022944
0.498724,0.023061
0.454731,0.023161
0.405383,0.023228
0.365415,0.023289
0.320798,0.023332
0.271413,0.023372
0.228452,0.023420
0.189996,0.023441
0.137140,0.023464
0.093904,0.023478
0.050675,0.023479
0.002544,0.023510
-0.041569,0.023516
-0.085995,0.023517
-0.130451,0.023510
-0.179794,0.023517
-0.219376,0.023513
-0.268999,0.023522
-0.313654,0.023518
-0.357953,0.023525
-0.401751,0.023530
-0.445334,0.023507
-0.493962,0.023508
-0.537483,0.023515
NaN,NaN
-0.499548,0.023464
-0.456526,0.023408
-0.413618,0.023350
-0.366031,0.023280
-0.322435,0.023253
-0.273304,0.023184
-0.234693,0.023129
-0.185730,0.023057
-0.142251,0.022993
-0.094123,0.022929
-0.050571,0.022828
-0.007169,0.022770
0.034791,0.022663
0.086104,0.022525
0.128019,0.022423
0.170141,0.022313
0.220695,0.022106
0.258120,0.021988
0.309825,0.021737
0.352621,0.021557
0.399304,0.021273
0.445747,0.020965
0.487068,0.020706
0.532236,0.020306
0.573400,0.019922
0.618135,0.019372
0.662698,0.018719
0.705059,0.017925
0.745149,0.016982
0.788707,0.015541
0.829382,0.013833
0.869210,0.011681
0.905805,0.009298
0.945941,0.006117
0.983227,0.002648
1.024018,-0.001728
1.097253,-0.011152
1.159549,-0.019678
1.210843,-0.026808
1.253884,-0.032917
1.300692,-0.039829
1.340826,-0.046660
1.383531,-0.055088
1.420222,-0.064020
NaN,NaN
