#ID:	1
#type:	Set light intensity
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
##Sample IR temperature:	[22.410000,22.570000
] °C
##Environment temperature:	[22.549999,22.540001
] °C
##Humidity:	[55.980000,55.919998
] %
##Light intensity:	[0.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#wavelength (nm),intensity (1)
330.000000,0.000001
332.968750,0.000001
335.937500,0.000001
338.906250,0.000000
341.875000,0.000000
344.843750,0.000000
347.812500,0.000000
350.781250,0.000000
353.750000,0.040980
356.718750,0.023678
359.687500,0.020989
362.656250,0.022793
365.625000,0.023724
368.593750,0.026883
371.562500,0.034261
374.531250,0.036757
377.500000,0.037520
380.468750,0.025198
383.437500,0.021528
386.406250,0.014674
389.375000,0.012435
392.343750,0.009054
395.312500,0.012051
398.281250,0.009405
401.250000,0.009461
404.218750,0.010226
407.187500,0.014385
410.156250,0.024815
413.125000,0.034464
416.093750,0.053866
419.062500,0.061233
422.031250,0.089146
425.000000,0.118213
427.968750,0.130073
430.937500,0.161006
433.906250,0.188162
436.875000,0.228871
439.843750,0.263503
442.812500,0.273553
445.781250,0.256189
448.750000,0.211164
451.718750,0.181123
454.687500,0.142659
457.656250,0.134898
460.625000,0.116540
463.593750,0.110402
466.562500,0.119686
469.531250,0.147938
472.500000,0.169777
475.468750,0.241668
478.437500,0.358590
481.406250,0.415376
484.375000,0.595565
487.343750,0.812727
490.312500,0.944963
493.281250,1.200022
496.250000,1.431523
499.218750,1.574699
502.187500,1.749368
505.156250,1.854961
508.125000,1.966694
511.093750,2.036470
514.062500,2.087942
517.031250,2.125865
520.000000,2.145432
522.968750,2.168066
525.937500,2.178300
528.906250,2.189824
531.875000,2.197685
534.843750,2.198846
537.812500,2.195401
540.781250,2.188543
543.750000,2.177019
546.718750,2.146037
549.687500,2.132201
552.656250,2.090978
555.625000,2.056033
558.593750,2.021570
561.562500,1.975892
564.531250,1.939308
567.500000,1.902652
570.468750,1.875560
573.437500,1.839371
576.406250,1.815944
579.375000,1.799358
582.343750,1.774585
585.312500,1.767523
588.281250,1.760520
591.250000,1.760825
594.218750,1.767946
597.187500,1.772004
600.156250,1.782335
603.125000,1.805936
606.093750,1.812661
609.062500,1.827586
612.031250,1.836366
615.000000,1.849874
617.968750,1.857743
620.937500,1.866728
623.906250,1.869214
626.875000,1.881259
629.843750,1.886143
632.812500,1.861224
635.781250,1.843409
638.750000,1.838360
641.718750,1.812386
644.687500,1.783467
647.656250,1.747538
650.625000,1.702095
653.593750,1.650196
656.562500,1.599872
659.531250,1.547759
662.500000,1.511625
665.468750,1.471644
668.437500,1.459392
671.406250,1.466401
674.375000,1.490646
677.343750,1.535521
680.312500,1.600689
683.281250,1.656023
686.250000,1.684953
689.218750,1.663439
692.187500,1.596004
695.156250,1.553773
698.125000,1.449654
701.093750,1.325353
704.062500,1.247435
707.031250,1.161964
710.000000,0.904432
712.968750,0.782280
715.937500,0.677585
718.906250,0.483467
721.875000,0.429119
724.843750,0.349183
727.812500,0.342737
730.781250,0.344224
733.750000,0.363542
736.718750,0.388166
739.687500,0.421609
742.656250,0.513367
745.625000,0.571963
748.593750,0.641782
751.562500,0.806734
754.531250,0.915545
757.500000,1.090180
760.468750,1.204579
763.437500,1.265385
766.406250,1.244287
769.375000,1.274305
772.343750,1.219944
775.312500,1.193461
778.281250,1.185377
781.250000,1.089741
784.218750,1.078025
787.187500,0.886770
790.156250,0.799935
793.125000,0.699387
796.093750,0.477382
799.062500,0.386532
802.031250,0.254252
805.000000,0.212790
807.968750,0.148945
810.937500,0.125827
