#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.750000,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.397416,-0.032025
1.376332,-0.030682
1.322158,-0.030139
1.290149,-0.028298
1.250060,-0.026320
1.212869,-0.023771
1.150375,-0.022013
1.117755,-0.019481
1.071180,-0.016822
1.031218,-0.014078
0.989190,-0.010992
0.944827,-0.008356
0.897162,-0.005919
0.852167,-0.003343
0.805030,-0.000571
0.758196,0.001878
0.707152,0.003972
0.655153,0.005639
0.605370,0.006588
0.562357,0.007882
0.518968,0.008850
0.465834,0.009776
0.421462,0.010275
0.370240,0.010994
0.313428,0.010960
0.277640,0.011328
0.233339,0.011865
0.188878,0.012370
0.140979,0.012638
0.093133,0.012795
0.051521,0.012905
0.010880,0.013001
-0.039443,0.013140
-0.085628,0.013217
-0.127014,0.013292
-0.172870,0.013385
-0.220219,0.013562
-0.267290,0.013739
-0.309142,0.013971
-0.354306,0.014301
-0.398725,0.014678
-0.443028,0.015100
-0.486166,0.015534
-0.527972,0.015948
NaN,NaN
-0.514612,0.015174
-0.473507,0.013896
-0.425766,0.012620
-0.379749,0.011616
-0.332005,0.010715
-0.282725,0.009932
-0.238750,0.009497
-0.192774,0.009023
-0.149398,0.008736
-0.099065,0.008255
-0.054331,0.008071
-0.010205,0.007852
0.033915,0.007594
0.080588,0.007243
0.128018,0.006968
0.174881,0.006661
0.218286,0.006442
0.260601,0.006173
0.310109,0.005663
0.352395,0.005414
0.393838,0.005033
0.434721,0.004587
0.481864,0.003915
0.525702,0.003362
0.570106,0.002863
0.617129,0.002041
0.662387,0.001346
0.706026,0.000567
0.748638,-0.000325
0.790412,-0.001643
0.836550,-0.003019
0.878648,-0.004105
0.916351,-0.005868
0.959529,-0.007548
1.001013,-0.009691
1.045733,-0.012123
1.092701,-0.014752
1.133537,-0.017452
1.178026,-0.020260
1.226225,-0.022738
1.274549,-0.024793
1.313367,-0.027211
1.342371,-0.030738
1.423241,-0.031895
NaN,NaN
